Name	FG Code	BG Code	VGA	Windows Console
Black	30	40	0,0,0	0,0,0
Red 	31	41	170,0,0	128,0,0
Green	32	42	0,170,0	0,128,0
Yellow	33	43	170,85,0	128,128,0
Blue	34	44	0,0,170	0,0,128
Magenta	35	45	170,0,170	128,0,128
Cyan	36	46	0,170,170	0,128,128
White	37	47	170,170,170	192,192,192
Bright Black	90	100	85,85,85	128,128,128
Bright Red  	91	101	255,85,85	255,0,0
Bright Green	92	102	85,255,85	0,255,0
Bright Yellow	93	103	255,255,85	255,255,0
Bright Blue  	94	104	85,85,255	0,0,255
Bright Magenta	95	105	255,85,255	255,0,255
Bright Cyan 	96	106	85,255,255	0,255,255
Bright White	97	107	255,255,255	255,255,255
